sync measurement test passed!
measurement test without zero_debias done in  0.00330639123917  s/iter!
sync measurement test passed!
measurement test with zero_debias done in  0.0033559012413  s/iter!
lr  0.976274142239 0.976274142219  mu  0.0153431078508 0.0153432346396
lr  0.975297868815 0.975297868794  mu  0.0159510369853 0.0159511662586
lr  0.974322571654 0.974322571634  mu  0.0165080739728 0.0165082290364
lr  0.973348249775 0.973348249755  mu  0.0170160913529 0.0170162620374
lr  0.9723749022 0.972374902179  mu  0.017477760257 0.0174778772827
lr  0.971402527949 0.971402527929  mu  0.0178961847792 0.0178963484837
lr  0.97043112605 0.970431126029  mu  0.0182746535203 0.0182747648606
lr  0.969460695527 0.969460695507  mu  0.0186164737662 0.018616565798
lr  0.968491235409 0.968491235389  mu  0.0189248637812 0.0189249414048
lr  0.967522744726 0.967522744706  mu  0.0192028858437 0.0192029306017
lr  0.966555222508 0.966555222488  mu  0.0194534076795 0.0194534900536
lr  0.96558866778 0.96558866776  mu  0.0196827647512 0.019682847043
lr  0.964623079571 0.964623079551  mu  0.0198962248098 0.0198963070192
lr  0.963658456918 0.963658456898  mu  0.0200951667877 0.020095248915
lr  0.962694798858 0.962694798838  mu  0.0202808247766 0.0202809068217
lr  0.96173210443 0.96173210441  mu  0.0204543046544 0.0204543866175
lr  0.960770372673 0.960770372653  mu  0.020616598927 0.0206166807925
lr  0.959809602626 0.959809602606  mu  0.020768599865 0.0207686816345
lr  0.958849793329 0.958849793309  mu  0.0209111110765 0.0209111921753
lr  0.957890943823 0.957890943803  mu  0.0210448576677 0.0210449381449
lr  0.956933053151 0.956933053131  mu  0.0211704951529 0.0211705741517
lr  0.955976120353 0.955976120333  mu  0.0212886172611 0.0212886948946
lr  0.955020144475 0.955020144455  mu  0.0213997627772 0.021399838073
lr  0.95406512456 0.95406512454  mu  0.0215044215415 0.021504494677
lr  0.953111059652 0.953111059632  mu  0.021603039715 0.0216031097015
lr  0.952157948799 0.952157948779  mu  0.0216960244075 0.0216960914791
lr  0.951205791046 0.951205791026  mu  0.0217837477502 0.0217838109579
lr  0.950254585441 0.950254585421  mu  0.0218665504862 0.0218666101103
lr  0.949304331033 0.949304331013  mu  0.0219447451401 0.0219448002988
lr  0.948355026871 0.948355026852  mu  0.0220186188222 0.0220186698313
lr  0.947406672006 0.947406671987  mu  0.0220884357124 0.0220884817712
lr  0.946459265489 0.946459265469  mu  0.0221544392656 0.0221544807149
lr  0.945512806371 0.945512806351  mu  0.0222168541719 0.0222168902945
lr  0.944567293706 0.944567293686  mu  0.022275888104 0.022275919257
lr  0.943622726548 0.943622726528  mu  0.0223317332751 0.0223317588227
lr  0.942679103951 0.942679103932  mu  0.0223845678323 0.0223845881518
lr  0.941736424972 0.941736424953  mu  0.0224345571046 0.0224345716354
lr  0.940794688667 0.940794688648  mu  0.0224818547216 0.0224818642499
lr  0.939853894094 0.939853894074  mu  0.0225266036192 0.0225266076203
lr  0.938914040311 0.938914040291  mu  0.0225689369445 0.02256893641
lr  0.937975126377 0.937975126358  mu  0.0226089788711 0.0226089732939
lr  0.937037151353 0.937037151334  mu  0.0226468453361 0.0226468357912
lr  0.936100114301 0.936100114282  mu  0.0226826447054 0.022682630696
lr  0.935164014283 0.935164014263  mu  0.022716478377 0.0227164609873
lr  0.934228850361 0.934228850341  mu  0.0227484413274 0.0227484200693
lr  0.933294621599 0.93329462158  mu  0.0227786226085 0.0227785985331
lr  0.932361327064 0.932361327044  mu  0.0228071057992 0.0228070784281
lr  0.93142896582 0.931428965801  mu  0.0228339694163 0.0228339397451
lr  0.930497536935 0.930497536915  mu  0.02285928729 0.0228592548525
lr  0.929567039476 0.929567039457  mu  0.022883128906 0.0228830946299
lr  0.928637472512 0.928637472493  mu  0.0229055597185 0.0229055231519
lr  0.927708835112 0.927708835093  mu  0.022926641437 0.022926603437
lr  0.926781126348 0.926781126329  mu  0.022946432289 0.0229463924194
lr  0.925854345291 0.925854345271  mu  0.0229649872605 0.0229649463076
lr  0.924928491012 0.924928490993  mu  0.0229823583175 0.0229823158623
lr  0.924003562586 0.924003562567  mu  0.0229985946101 0.0229985513711
lr  0.923079559086 0.923079559067  mu  0.023013742659 0.0230136982355
lr  0.922156479588 0.922156479569  mu  0.023027846529 0.0230278015715
lr  0.921234323168 0.921234323149  mu  0.0230409479879 0.0230409021145
lr  0.920313088902 0.920313088883  mu  0.0230530866536 0.0230530404604
lr  0.919392775869 0.91939277585  mu  0.0230643001306 0.0230642532546
lr  0.918473383148 0.918473383129  mu  0.0230746241354 0.0230745769639
lr  0.917554909818 0.917554909799  mu  0.0230840926133 0.0230840448091
lr  0.91663735496 0.916637354941  mu  0.0230927378466 0.0230926899096
lr  0.915720717655 0.915720717637  mu  0.0231005905547 0.0231005421654
lr  0.914804996987 0.914804996968  mu  0.0231076799873 0.0231076313615
lr  0.913890192038 0.913890192019  mu  0.0231140340111 0.0231139848575
lr  0.912976301892 0.912976301873  mu  0.0231196791903 0.023119629933
lr  0.912063325636 0.912063325617  mu  0.0231246408617 0.0231245912247
lr  0.911151262355 0.911151262336  mu  0.0231289432045 0.0231288932921
lr  0.910240111136 0.910240111117  mu  0.0231326093055 0.023132558869
lr  0.909329871067 0.909329871048  mu  0.0231356612199 0.0231356106231
lr  0.908420541237 0.908420541218  mu  0.0231381200285 0.0231380690356
lr  0.907512120736 0.907512120717  mu  0.0231400058903 0.0231399545346
lr  0.906604608655 0.906604608636  mu  0.0231413380926 0.0231412861638
lr  0.905698004084 0.905698004066  mu  0.0231421350975 0.0231420829107
lr and mu computing test passed!
lr and mu test done with zero_debias in  0.00275047063828  s/iter!
